GENENAME	Adrenal4.a.s	Adrenal4.c.s	Adrenal4.d.s	Thryoid5.a.s	Thyroid5.b.s	Thyroid5.c.s	Thyroid5.d.s
RP11-527D7.1	11	7	6	0	0	0	0
FH	1427	1239	1461	1072	639	0	894
KMO	11	10	48	6	3	0	3
OPN3	55	34	74	50	59	0	67
CHML	223	138	207	613	424	0	481
WDR64	11	5	8	0	4	0	3
RP11-553N16.1	1	0	0	0	1	5	0
EXO1	5	2	7	13	8	0	8
RP11-323D18.5	0	0	0	0	0	0	0
BECN1P1	0	0	0	0	0	0	0
CFL1P4	6	5	4	0	0	0	0
MAP1LC3C	6	10	4	5	16	0	39
TUBB8P6	3	0	0	0	0	0	0
PLD5	122	154	78	0	1	0	31
RNA5SP81	0	0	0	0	0	0	0
RN7SKP12	0	0	0	0	0	0	0
RP11-561I11.3	0	1	0	0	0	0	0
RP11-561I11.2	1	0	0	0	0	0	0
RP11-513D4.3	0	0	0	0	0	0	0
RP11-513D4.2	0	0	0	0	0	0	0
RP11-513D4.1	0	0	0	0	0	0	0
RP11-435I3.1	0	0	0	0	0	0	0
RSL24D1P4	0	0	0	0	0	0	0
RP11-498M14.1	0	0	0	0	0	0	0
AL445675.1	0	0	0	0	0	0	0
RP11-331N16.1	0	0	2	0	0	0	0
RP11-261C10.1	0	0	0	0	0	24	0
RP11-261C10.2	1	0	0	0	0	0	0
RP11-261C10.7	2	2	2	0	0	0	0
RP11-261C10.3	1	1	3	0	1	23	0
CEP170	471	457	627	1334	647	91	803
RP11-261C10.5	1	0	2	5	1	0	2
RP11-261C10.4	0	0	0	0	0	0	0
AC092782.1	0	0	0	0	1	0	0
SDCCAG8	515	397	420	1156	1002	160	1218
FCF1P7	0	0	0	3	1	0	2
MIR4677	0	0	1	0	0	1	0
AKT3	1051	1315	1322	1883	1170	0	1477
RP11-269F20.1	0	0	5	3	2	0	0
FABP7P1	0	0	0	0	0	0	0
RP11-370K11.1	0	0	0	0	0	0	0
AKT3-IT1	0	0	0	0	0	0	0
RP11-278H7.1	0	0	0	3	4	0	6
ZBTB18	388	261	351	553	375	0	473
AL590483.1	0	0	0	0	0	0	0
RP11-278H7.4	0	0	0	0	0	0	0
RN7SL148P	0	0	0	0	0	0	0
RP11-278H7.3	0	0	0	0	0	0	0
C1orf100	0	1	1	1	1	4	1
RP11-518L10.2	0	0	0	0	0	0	0
TGIF2P1	0	3	0	1	0	0	1
ADSS	586	559	510	1643	668	15	944
C1orf101	18	13	25	35	54	5	52
AC099757.1	0	0	0	0	0	0	0
RP11-523K4.2	0	0	0	0	0	0	0
DESI2	803	712	762	2249	929	43	1361
RP11-173A6.2	1	0	0	0	4	338	5
COX20	74	66	69	33	39	0	58
HNRNPU-AS1	230	196	240	221	223	1	153
HNRNPU	4552	5451	5467	6100	4976	18	6243
RN7SKP55	0	0	0	0	0	0	0
EFCAB2	183	188	242	536	248	1	301
RP11-290P14.2	0	0	0	0	0	0	0
KIF26B	150	110	94	185	305	7	170
RP11-62I21.1	0	0	0	0	3	0	0
DNAJC19P8	0	0	0	0	1	0	0
AL359983.1	0	0	0	0	0	0	0
RP11-522M21.2	0	0	0	0	0	0	0
RP11-522M21.3	0	0	0	0	0	0	0
SMYD3	225	202	231	178	551	2	312
RP11-83A16.1	0	0	0	0	0	0	0
RP11-36N20.1	0	0	0	0	0	1	1
CHCHD4P5	0	0	0	0	0	0	0
SMYD3-IT1	0	0	0	1	2	0	0
RP11-690C23.4	0	0	0	0	0	0	0
RP11-690C23.2	0	0	0	0	0	0	0
RP11-690C23.5	0	0	0	0	0	0	0
RP11-690C23.3	0	0	0	0	1	0	0
TFB2M	594	510	527	288	366	1	356
CNST	1435	1393	1253	960	1171	0	1199
RP11-439E19.1	0	0	0	0	0	13	0
RP11-452J6.2	1	1	2	0	1	0	3
RP11-439E19.9	5	2	6	4	7	5	2
RP11-439E19.7	2	2	4	0	0	0	0
SCCPDH	1643	1153	1816	915	855	2	744
RP11-439E19.6	0	0	0	0	1	0	0
RP11-439E19.8	9	4	4	2	2	0	2
RP11-439E19.10	54	31	36	12	25	0	18
RP11-439E19.3	21	13	10	1	9	0	4
RP11-397A15.4	0	0	0	0	0	0	0
AHCTF1	687	539	551	1396	834	4	1055
ZNF670	38	51	42	81	73	126	86
ZNF695	0	0	1	3	1	12	0
RP11-551G24.3	0	0	0	0	0	3	0
RP11-551G24.2	0	0	0	1	0	13	0
RP11-107G24.3	0	0	0	0	0	0	0
ZNF669	49	40	28	148	60	0	107
C1orf229	9	5	5	5	32	2	14
FGFR3P6	0	0	0	0	0	1	0
ZNF124	34	34	37	48	59	34	99
RP11-488L18.6	1	0	0	4	1	1	4
RP11-488L18.3	0	2	1	6	3	1	2
RP11-488L18.10	117	114	78	188	102	4	146
RP11-488L18.4	242	292	227	481	346	6	481
MIR3916	12	14	9	9	14	2	13
RNA5SP82	1	2	4	2	3	0	2
RP11-488L18.8	6	8	9	12	17	14	9
RP11-488L18.1	7	8	11	8	0	3	4
VN1R17P	0	0	0	0	0	0	0
VN1R5	0	0	0	0	0	0	0
ZNF496	378	362	433	1257	1058	0	792
NLRP3	61	90	110	35	120	0	99
OR2B11	0	0	0	0	2	0	0
OR2W5	0	0	0	0	0	0	0
GCSAML	0	4	9	18	0	0	8
GCSAML-AS1	3	2	6	0	0	0	1
OR2C3	1	0	1	0	0	0	0
RP11-978I15.10	0	0	0	0	0	0	0
OR2G2	0	0	0	0	0	0	0
OR2G3	0	0	0	0	0	0	0
OR14L1P	0	0	0	0	0	0	0
RP11-634B7.4	1	0	0	1	3	0	0
OR3D1P	0	0	0	0	0	0	0
OR13G1	2	0	0	0	0	0	0
OR6F1	0	0	0	0	0	72	0
RP11-634B7.5	0	0	0	0	0	28	0
OR14A2	0	0	0	0	0	0	0
OR14K1	0	0	0	0	0	1	0
OR1C1	0	0	0	0	0	11	0
OR9H1P	0	0	0	0	0	0	0
OR14A16	0	0	0	0	2	0	1
HSD17B7P1	2	0	0	2	3	0	4
RP11-438H8.3	0	0	0	4	8	0	7
OR11L1	0	0	0	2	5	0	3
TRIM58	2	11	42	672	602	0	927
OR2W3	2	7	28	98	145	0	122
OR2T8	0	0	0	12	11	1	11
OR2AJ1	0	0	0	0	0	0	0
RP11-438H8.8	1	0	0	1	2	1	0
OR2L13	21	12	15	19	7	0	6
RP11-438H8.9	0	0	0	0	0	0	1
OR2L8	0	0	0	0	0	0	0
OR2AK2	0	1	0	0	0	0	0
RP11-430I15.2	0	0	0	0	0	0	0
OR2L1P	2	0	0	5	2	0	1
RP11-430I15.4	0	0	0	1	0	0	0
OR2L5	0	0	1	0	0	0	0
OR2L2	0	0	0	0	0	0	0
OR2L3	0	0	0	5	0	0	2
RP11-132G10.2	0	0	0	2	6	0	8
OR2M1P	1	0	0	0	0	0	0
OR2M5	0	0	0	0	0	0	0
OR2M2	0	0	0	0	0	0	0
OR2M3	0	0	0	0	0	0	0
OR2M4	1	0	0	0	0	0	0
OR2T33	0	0	0	0	2	0	2
OR2T12	0	0	0	0	0	0	0
OR2M7	0	0	0	0	0	0	0
OR14C36	0	0	0	0	0	0	0
OR2T4	0	0	0	0	0	0	0
OR2T6	0	0	0	0	0	0	0
OR2T1	0	0	0	0	0	0	0
OR2T7	0	0	0	0	0	0	0
OR2T2	0	0	0	0	0	0	0
OR2T3	0	0	0	1	0	0	0
RP11-407H12.8	0	0	0	13	0	0	0
OR2T5	0	0	0	0	0	0	0
OR2G6	0	0	0	0	0	0	0
RP11-438F14.3	0	0	0	5	1	0	0
RP11-438F14.1	0	0	0	0	0	0	0
OR2T29	0	0	0	0	0	0	0
OR2T34	0	0	0	0	0	0	0
OR2T10	0	0	0	3	1	0	0
RP11-438F14.10	0	0	0	0	0	0	0
OR2T11	0	0	0	0	0	0	0
OR2T35	0	0	0	0	0	0	0
OR2T27	0	0	0	0	0	7	0
OR14I1	0	0	0	0	0	37	0
XX-CR54.1	0	0	0	0	0	24	0
LYPD8	0	0	0	0	0	0	0
AHCYP8	0	0	0	0	0	0	0
WI2-2118C23.1	1	0	0	0	0	0	0
AL672296.1	0	0	0	0	0	0	0
SH3BP5L	474	355	512	414	502	0	492
MIR3124	0	0	0	0	0	0	0
ZNF672	306	320	341	345	303	0	328
ZNF692	447	366	319	363	555	0	353
AL672294.1	0	0	0	0	1	0	0
PGBD2	108	77	147	300	171	0	293
AL672183.2	0	1	0	0	2	0	0
FAM110C	149	194	188	425	264	305	384
AC079779.7	0	1	0	0	0	0	0
SH3YL1	1211	815	961	1516	1771	1726	1388
ACP1	2246	1813	1961	1455	1298	1196	1286
FAM150B	1710	2855	1387	0	20	7	15
AC079779.4	72	202	95	0	6	1	1
AC079779.5	0	0	0	0	1	0	0
AC079779.6	2	0	0	0	0	0	1
AC105393.1	0	0	0	0	0	0	0
AC105393.2	1	0	0	0	0	0	0
AC093326.1	0	0	0	0	0	0	1
AC093326.2	0	0	0	0	1	0	0
AC093326.3	5	2	17	0	19	10	9
TMEM18	567	431	467	708	603	621	621
AC092159.2	2	1	2	0	0	1	0
AC092159.3	0	0	0	0	0	0	1
AC116609.1	0	0	0	0	0	0	0
AC116609.3	0	0	1	0	0	0	1
AC116609.2	0	0	0	0	0	0	0
AC113607.1	13	52	12	2	6	10	6
AC113607.2	0	0	0	0	0	0	0
AC113607.3	0	0	0	0	0	0	0
AC116614.1	18	20	5	0	7	0	3
SNTG2	25	6	5	1	6	1	22
AC114808.3	0	1	0	0	0	0	0
AC114808.2	0	0	0	0	0	0	0
AC108462.1	0	0	0	0	0	1	0
TPO	5	0	2	31921	95554	202	39502
AC144450.1	0	0	0	30	80	5	45
AC141930.2	0	0	0	2	0	0	0
AC144450.2	0	0	0	1	2	0	0
PXDN	555	403	494	465	668	36	388
MYT1L	148	139	122	0	2	2	3
AC093390.1	1	1	3	0	0	0	4
AC009232.2	1	0	0	0	0	0	0
AC018685.1	0	1	5	0	0	0	2
AC018685.2	0	0	2	0	0	0	0
AC011995.1	0	0	0	0	0	0	0
AC011995.3	0	0	2	0	0	0	0
AC019118.2	5	5	5	1	0	0	0
AC074264.1	0	0	0	0	0	0	0
AC019118.3	0	0	0	0	2	0	0
AC019118.4	2	1	0	1	0	0	0
TSSC1	291	256	304	470	478	5	614
TSSC1-IT1	16	20	35	24	44	6	35
TRAPPC12	620	455	328	482	727	196	712
TRAPPC12-AS1	6	7	10	10	9	1	13
ADI1	2288	1404	2039	821	681	56	1396
AC142528.1	4	2	2	4	4	3	9
AC108488.4	36	47	31	17	36	2	21
RP13-512J5.1	0	0	0	0	0	0	0
RNASEH1	157	160	197	324	217	33	226
AC108488.3	42	43	68	49	58	0	70
RPS7	909	742	703	1011	731	0	700
SNORA73	1	0	0	1	2	0	1
COLEC11	700	390	270	39	90	0	117
AC010907.2	0	0	0	0	0	0	0
TMSB4XP2	17	10	18	0	0	0	0
ALLC	11	8	6	0	0	0	1
GAPDHP48	0	2	0	0	0	0	0
AC010907.5	1	0	0	0	0	0	0
DCDC2C	0	0	0	1	0	0	1
AC019172.2	1	0	1	0	0	0	5
AC107070.1	0	0	0	0	0	0	0
RN7SL531P	0	0	0	0	0	0	0
AC012445.1	0	0	0	0	0	0	0
AC068292.1	0	0	0	0	0	0	0
NPM1P48	0	0	0	0	0	0	0
AC022311.1	0	0	0	0	0	0	0
AC073143.1	0	0	0	0	0	0	0
AC107057.1	0	0	0	0	2	0	1
AC107057.2	0	0	0	0	0	0	0
AC108025.2	0	0	0	0	0	0	0
SOX11	1	0	0	17	1	0	0
AC010729.1	0	0	0	0	0	0	0
AC010729.2	0	0	0	0	0	1	0
AC010729.3	0	0	0	0	0	0	0
AC073479.1	0	1	1	0	0	0	0
AC017053.1	0	0	0	0	0	0	0
AC105253.1	0	0	0	0	0	0	0
AC021021.1	0	0	0	0	0	0	0
AC021021.2	0	0	0	0	0	0	0
AC097517.2	0	0	0	0	0	0	1
LINC00487	1	1	0	2	1	5	0
AC017076.5	4	6	3	3	2	0	2
CMPK2	178	140	197	101	116	0	131
RSAD2	115	132	239	47	90	1	120
RNF144A-AS1	249	323	284	0	0	2	2
RNF144A	2435	2128	2541	231	126	0	294
AC019048.1	0	1	2	0	0	0	0
RN7SKP112	0	0	0	0	0	0	0
AC010904.1	17	13	21	3	6	0	5
AC013460.1	3	4	2	0	0	0	2
RNU6ATAC37P	0	0	0	0	0	0	0
AC092580.3	0	0	0	0	0	0	0
AC092580.4	1	4	7	0	2	0	3
AC092580.2	0	0	0	0	0	0	0
AC092580.1	0	0	0	0	0	0	0
AC007463.2	0	0	0	0	0	0	0
AC007464.1	2	8	2	1	1	0	0
LINC00299	22	15	17	3	2	0	0
U91324.1	0	0	0	0	0	0	0
AC011747.3	8	6	10	0	5	1646	1
AC011747.4	65	60	111	8	48	6	38
AC011747.6	0	1	0	0	0	41	0
SNRPEP5	0	0	0	0	0	1	0
AC011747.7	14	10	7	11	26	89	28
ID2	2044	3339	2640	3386	1341	0	3942
RP11-434B12.1	52	33	31	15	8	45	16
KIDINS220	2057	1984	2599	2386	1700	96	2338
MBOAT2	277	218	336	546	487	0	836
HMGB1P25	0	0	0	0	0	0	0
RP11-734K21.1	0	1	0	0	0	0	0
RP11-734K21.2	0	0	0	0	0	0	1
RP11-734K21.5	0	0	0	0	0	0	0
RP11-734K21.3	0	1	0	0	0	1	0
RP11-734K21.4	0	0	0	0	0	0	0
ASAP2	97	148	203	714	727	12	933
RP11-385J23.1	0	0	0	0	0	0	0
ITGB1BP1	682	480	593	463	379	1	448
CPSF3	477	329	444	627	489	300	550
IAH1	654	489	539	564	394	3	385
ADAM17	266	464	403	766	587	482	585
RP11-400L8.2	3	5	2	1	11	0	4
YWHAQ	3718	3282	3797	3138	2694	0	4047
RP11-521D12.1	1	0	0	0	0	0	0
RP11-521D12.2	0	0	0	0	0	0	0
RNU4-73P	0	0	0	1	0	2	0
RP11-521D12.4	0	0	0	0	0	0	0
RP11-521D12.5	1	2	4	0	0	0	0
TAF1B	209	160	225	340	299	125	310
RP11-95D17.1	80	36	36	46	73	0	37
GRHL1	49	49	39	142	130	1	130
AC010969.1	3	1	4	0	0	0	0
RP11-254F7.1	0	0	0	0	0	0	0
RP11-254F7.2	166	130	131	160	187	0	173
KLF11	781	568	904	626	828	0	866
CYS1	75	38	75	35	69	0	111
AC104794.4	0	0	0	0	0	0	0
RRM2	24	28	47	69	34	0	17
C2orf48	0	1	0	0	1	0	0
MIR4261	0	0	0	0	0	0	0
RN7SL66P	0	0	0	0	0	0	0
HPCAL1	744	669	764	365	464	308	364
ODC1	520	517	418	2062	950	2	1969
SNORA80B	0	0	0	0	0	0	0
RP11-320M2.1	12	3	9	10	21	76	27
AC007249.3	2	1	0	2	4	0	7
NOL10	400	389	435	552	293	2	427
AC092687.5	0	2	0	2	0	0	2
RN7SL832P	0	0	5	4	6	0	2
AC092687.3	0	0	0	0	0	0	0
ATP6V1C2	27	58	30	31	36	0	56
RNU7-138P	0	0	0	0	0	0	0
PDIA6	1548	1898	2335	7358	7093	0	10232
RNU7-176P	0	0	0	0	0	0	0
AC092687.4	0	0	0	0	0	0	0
RP11-245G13.1	0	0	0	0	0	0	0
KCNF1	3	0	2	1	0	0	0
AC062028.1	0	0	0	1	0	1	2
RP11-345J13.1	1	1	0	0	0	1	0
C2orf50	5	2	3	1	8	0	1
PQLC3	655	455	615	183	344	0	407
ROCK2	927	1156	1037	1872	1462	1	1947
AC018463.4	36	37	41	61	35	2	70
AC018463.5	0	0	1	0	1	0	0
AC099344.2	0	2	0	0	0	0	0
AC099344.3	0	0	0	0	0	0	0
LINC00570	2	0	0	0	0	0	0
E2F6	158	153	154	178	154	0	179
AC099344.1	0	0	0	0	0	0	0
RNA5SP84	0	0	0	0	0	0	0
GREB1	171	420	85	2	24	66	9
MIR4429	0	0	0	0	0	0	0
RNA5SP85	1	0	0	0	0	0	0
RN7SL674P	0	0	0	0	0	0	0
AC011994.1	0	0	0	0	0	0	0
NTSR2	5	6	2	0	0	4	0
AC110754.3	0	0	0	0	0	2	0
LPIN1	932	938	1023	889	654	0	1055
AC106875.1	0	0	0	0	0	4	0
AC012456.3	0	0	0	0	0	0	0
AC012456.4	0	1	2	0	0	0	0
MIR548S	0	0	0	0	0	0	0
MIR4262	0	0	0	0	0	0	0
AC096559.1	0	3	0	0	1	98	0
SNORD18	0	0	0	0	0	0	0
MIR3681	0	0	0	0	0	0	0
AC096559.2	0	0	0	0	0	6	0
RP11-333O1.1	3	6	4	2	4	0	2
TRIB2	1568	1588	1601	469	610	0	716
MIR3125	1	3	0	0	0	0	0
AC064875.2	29	24	55	3	6	0	1
AC092635.1	0	0	0	0	0	0	0
LINC00276	0	0	0	0	0	0	0
AC016730.1	1	0	0	0	0	0	0
AC011897.2	0	0	0	0	0	0	0
FAM84A	64	96	70	394	118	0	106
AC011897.1	0	0	0	0	0	0	0
AC068286.1	0	0	0	0	0	0	0
NBAS	372	687	836	1809	1303	257	1036
RP11-32P22.1	0	0	0	0	0	0	0
AC008278.2	2	0	0	0	0	0	0
DDX1	1895	1579	1855	2523	1865	0	2391
AC008278.3	0	0	0	0	1	0	1
AC008271.1	0	0	0	0	0	0	0
AC113608.1	0	0	0	0	0	3	0
RNU5E-7P	0	0	0	0	0	0	0
RP11-120J4.1	0	0	0	0	0	0	0
AC010145.3	0	0	0	0	0	1	0
MYCNOS	2	0	0	2	0	0	2
MYCN	14	22	26	24	17	0	24
RN7SL104P	0	0	0	0	0	0	0
AC010145.4	0	0	0	0	0	0	0
AC130710.1	2	3	3	0	0	0	0
AC142119.1	0	0	0	0	0	0	0
WI2-2221J1.1	0	0	0	0	0	0	0
AC010745.1	0	0	0	0	0	0	0
AC010745.2	0	0	0	0	0	0	0
AC010745.3	0	0	0	0	0	0	0
AC010745.4	0	0	0	0	0	0	0
AC010880.1	0	0	0	0	0	0	0
AC104623.2	0	0	0	0	0	0	0
FAM49A	691	545	897	4917	1918	0	2096
AC008069.1	0	0	0	0	1	0	0
AC008069.2	0	0	0	0	0	0	0
AC080094.1	0	0	0	0	0	0	0
RN7SKP168	0	0	0	0	0	0	0
ZFYVE9P2	1	0	0	0	0	0	0
PSMC1P10	0	0	0	0	0	0	0
RAD51AP2	10	0	2	3	1	8	3
VSNL1	1143	642	341	1	13	7	6
SMC6	375	285	316	700	404	0	573
GEN1	99	129	155	191	116	1	180
MSGN1	0	0	0	0	0	0	0
KCNS3	41	15	38	122	71	0	41
RP11-111J6.2	7	0	1	5	2	0	3
RDH14	347	211	216	224	147	0	270
NT5C1B-RDH14	0	0	0	0	0	0	0
NT5C1B	3	5	3	3	4	0	8
AC106053.1	0	0	0	0	0	0	0
AC092594.1	16	9	8	22	14	1	23
MIR4757	0	0	0	0	0	0	0
OSR1	80	34	26	1	0	0	112
AC010096.1	0	0	0	0	1	0	0
AC010096.2	0	0	0	0	0	0	0
AC019055.1	0	0	0	0	0	32	0
CISD1P1	0	0	0	0	0	0	0
AC013400.2	13	15	15	7	6	1	9
TTC32	181	94	88	190	115	0	147
WDR35	470	406	493	936	616	0	929
AC079145.4	3	3	1	10	2	64	2
MATN3	17	26	18	33	15	56	28
LAPTM4A	7356	7398	8749	7546	4610	621	6760
RP11-644K8.1	0	0	0	1	3	0	0
AC098828.2	0	0	1	0	0	4	0
AC098828.3	0	0	0	0	0	0	0
RN7SL140P	0	0	0	0	0	0	0
SDC1	213	200	564	1241	954	1	851
AC007041.2	88	83	84	109	93	0	77
RNU7-113P	0	0	0	0	0	0	0
PUM2	2605	2321	2442	4853	4366	2105	5051
AC007041.1	0	0	0	0	0	0	0
SLC7A15P	0	0	0	0	0	1	0
RNA5SP86	0	0	0	0	0	0	0
RHOB	17667	13106	21897	1662	3478	1	4166
AC023137.2	1	1	1	0	1	0	0
AC012065.4	1	15	2	0	0	4	0
HS1BP3	731	566	917	573	602	9	434
RP11-130L8.2	10	5	4	3	0	0	2
HS1BP3-IT1	3	11	5	0	3	0	4
AC012065.5	0	0	2	1	1	0	1
GDF7	12	15	15	15	16	0	4
AC012065.7	14	2	6	6	9	0	1
RP11-130L8.1	0	0	0	0	0	0	0
C2orf43	488	342	489	390	256	0	272
AC012361.1	0	0	0	0	0	0	0
RP11-116D2.1	0	0	0	0	0	0	0
APOB	11	5	7	2	0	0	6
TDRD15	0	0	0	2	0	0	0
RP11-79J24.1	0	0	0	0	0	0	0
AC067959.1	1	1	0	0	0	0	0
AC011752.1	0	0	0	0	0	0	0
RP11-531P14.1	0	0	0	0	0	0	0
AC009411.2	0	0	0	0	0	0	0
AC009411.1	0	0	0	0	0	0	0
AC018742.1	0	1	0	0	0	0	0
RN7SL117P	0	0	0	0	0	0	0
AC068490.2	0	0	0	0	0	0	0
AC068490.1	0	0	0	0	0	0	0
AC068044.1	0	0	0	0	0	0	0
AC099799.1	0	0	0	0	0	0	0
RNA5SP87	0	0	0	0	0	0	0
AC096570.2	0	0	0	0	0	0	0
AC096570.1	0	0	0	0	0	0	0
RN7SKP27	0	0	0	0	0	0	0
AC016768.1	0	0	1	0	0	0	0
AC012506.1	0	0	0	0	0	0	0
AC012506.2	0	0	0	0	0	0	0
AC012506.3	0	0	0	0	0	0	0
AC012506.4	0	0	0	0	0	0	0
KLHL29	787	904	768	41	36	4	77
AC011239.1	49	46	68	0	0	0	0
ATAD2B	292	280	299	445	341	47	530
PGAM1P6	0	0	0	0	1	15	0
AC066692.3	0	0	0	0	0	3	0
UBXN2A	321	294	377	453	398	9	433
SDHCP3	15	18	15	14	12	0	5
RN7SL610P	0	0	0	0	1	0	0
MFSD2B	3	1	1	0	0	588	1
C2orf44	192	160	177	142	163	358	221
FKBP1B	22	19	35	2	39	105	23
SF3B14	815	580	562	626	467	0	734
FAM228B	106	97	137	154	163	63	138
TP53I3	146	148	207	93	160	70	174
PFN4	12	7	6	19	27	0	15
RP11-507M3.1	0	0	0	1	0	0	0
AC008073.7	4	0	0	1	0	0	1
FAM228A	8	8	4	1	2	0	1
AC008073.9	1	1	0	1	0	0	2
ITSN2	1109	1272	1906	4256	3359	0	3622
AC009228.1	1	0	0	2	1	0	2
HMGN2P20	0	0	1	0	0	0	0
RP11-219F1.1	0	0	0	0	0	0	0
NCOA1	1285	1304	1699	1118	1347	5	1211
RNA5SP88	0	0	0	0	0	0	0
PTRHD1	188	109	134	63	66	0	121
CENPO	82	56	70	56	105	16	90
ADCY3	288	303	352	284	375	5	473
DNAJC27	211	283	238	319	170	0	330
AC013267.1	0	0	0	0	1	0	0
SNORD14	0	0	0	0	2	0	0
DNAJC27-AS1	48	28	38	28	43	2	45
EFR3B	50	55	73	60	192	41	200
RN7SL856P	0	0	0	0	0	1	0
SUCLA2P3	16	23	17	14	14	0	16
RP11-509E16.1	95	60	58	32	119	5	161
POMC	48	55	40	0	1	18	0
AC012457.2	0	0	0	0	0	1	0
DNMT3A	350	310	402	229	314	5	260
MIR1301	0	0	0	0	0	0	0
AC012074.2	5	1	0	1	0	0	4
AC012074.1	1	0	1	0	1	0	3
DTNB	85	67	99	308	275	23	576
AC104699.1	0	0	3	0	0	0	0
AC010150.2	0	0	0	0	0	0	0
ASXL2	617	782	1053	1708	1363	0	1491
TPM3P7	0	0	0	0	0	2	0
PTGES3P2	12	7	4	0	22	0	8
AC010150.1	2	0	1	0	0	0	1
AC064847.4	0	0	0	0	0	167	0
KIF3C	381	378	876	86	196	254	212
UQCRHP2	0	0	2	0	0	0	0
AC013449.1	289	202	186	105	78	0	76
RAB10	2788	2253	2840	3289	2538	4	3546
RP11-214J9.1	1	0	0	0	1	1	0
AC011742.3	0	0	0	0	2	0	0
SMARCE1P6	4	6	5	3	1	16	5
AC011742.5	0	1	0	0	0	3	0
PPIL1P1	0	1	1	0	0	26	0
GAREML	55	40	66	165	150	1	49
HADHA	3654	3886	4777	4203	3362	0	2623
HADHB	4533	4282	4858	3741	1854	0	2097
GPR113	13	9	5	19	36	0	17
EPT1	664	707	890	1194	756	4	973
DRC1	3	3	4	0	2	2	10
OTOF	5	8	43	0	1	13	3
C2orf70	0	5	3	1	47	0	45
CIB4	23	12	8	0	12	0	29
AC015977.6	1	6	9	0	1	0	0
AC015977.5	0	2	0	0	0	0	0
KCNK3	6258	8415	8440	29	228	0	124
SLC35F6	775	590	958	2091	881	3	802
CENPA	6	2	5	11	1	10	3
CDKN2AIPNLP2	0	0	0	1	0	0	0
DPYSL5	76	54	153	0	0	627	0
AC013472.4	0	0	0	0	0	19	0
MAPRE3	649	479	606	328	364	66	331
AC013472.3	0	0	0	0	1	107	1
TMEM214	1155	1179	1338	1792	1974	0	1725
AGBL5	466	442	502	993	966	0	841
AGBL5-AS1	0	0	2	0	0	0	0
AGBL5-IT1	3	4	7	3	5	0	3
OST4	1088	676	736	391	390	0	386
EMILIN1	838	642	977	16	38	7	71
KHK	77	65	127	11	56	305	19
CGREF1	56	21	39	0	3	244	8
ABHD1	12	16	12	0	13	10	7
PREB	763	668	775	925	745	59	796
C2orf53	0	0	0	0	0	2	0
TCF23	0	1	0	0	0	1002	0
AC013403.13	0	0	0	0	0	84	0
SLC5A6	286	286	375	365	432	40	275
ATRAID	1230	823	863	1229	995	172	1283
CAD	419	383	490	637	946	470	698
SLC30A3	46	38	15	0	0	95	6
DNAJC5G	7	8	6	0	0	0	5
TRIM54	54	39	55	2	3	0	6
UCN	19	8	5	17	1	0	0
MPV17	1008	832	794	1173	665	0	632
GTF3C2	547	482	547	1154	989	2	1036
AC109828.1	9	2	3	3	9	2	4
AC074117.10	68	64	47	124	113	38	71
EIF2B4	586	618	518	638	460	4	385
SNX17	1639	1422	1675	1393	1644	71	1267
ZNF513	305	310	296	148	273	153	217
PPM1G	1121	927	986	1046	1146	64	975
FTH1P3	1	0	2	1	0	2	0
NRBP1	1470	1221	1334	1529	1178	470	1287
KRTCAP3	15	11	9	26	150	36	72
IFT172	400	406	377	731	841	98	668
AC074117.13	0	1	0	1	2	0	1
FNDC4	1090	1840	1617	6	11	0	17
GCKR	53	87	61	0	0	0	0
AC109829.1	1	2	0	2	2	0	1
C2orf16	27	29	35	64	54	0	64
AC074091.1	0	0	0	0	0	0	0
ZNF512	524	406	368	573	576	0	667
RP11-158I13.2	0	0	0	0	0	0	0
CCDC121	84	73	65	102	116	2	206
GPN1	421	316	400	535	384	2	447
SNORA36	0	0	0	0	0	0	0
SUPT7L	1000	943	894	917	979	2	998
SLC4A1AP	452	444	479	465	479	10	490
AC074091.13	6	6	0	1	0	81	0
MRPL33	1987	1858	1274	220	97	0	161
AC110084.1	2	8	3	1	7	2	8
RBKS	625	588	944	133	147	2	162
BRE	2037	2333	2109	467	321	0	364
RP11-674I16.1	0	0	0	0	0	0	0
MIR4263	8	0	3	4	3	0	2
RP11-674I16.2	0	0	0	0	0	0	1
AC093690.1	6	5	4	1	5	2	1
RP11-731I19.1	0	0	0	0	0	0	0
AC104695.3	23	50	39	3	1	1	1
FOSL2	8735	11873	15000	1123	1849	9	1517
RP11-373D23.2	49	64	82	0	2	0	3
RP11-373D23.3	11	5	3	0	0	0	3
AC104695.4	0	0	0	0	0	0	0
PLB1	108	168	172	20	107	213	86
SNRPGP7	0	0	0	0	0	0	0
AC074011.2	2	2	0	0	0	0	2
RNA5SP89	0	0	0	0	0	0	0
AC097724.3	15	3	9	14	11	2	9
PPP1CB	4237	3421	3136	5761	3317	0	3925
SPDYA	8	12	21	11	11	3	6
TRMT61B	192	191	284	197	199	0	173
WDR43	478	680	519	948	684	75	820
SNORD92	0	0	0	0	0	0	0
SNORD53	0	0	0	0	2	0	0
SNORD53_SNORD92	0	0	0	0	0	0	1
FAM179A	107	81	29	0	2	6	5
C2orf71	2	1	1	5	13	1	11
AC105398.1	0	0	0	0	0	0	0
AC105398.3	0	0	1	1	3	0	2
